Code,biomass,name,longname,Year,model_ver
BB,4203673.546511,Sed_Bact,Benthic bacteria,0,1
BB,4192163.89492,Sed_Bact,Benthic bacteria,0.2,1
BB,4186742.007767,Sed_Bact,Benthic bacteria,0.4,1
BB,4182718.7707,Sed_Bact,Benthic bacteria,0.6,1
BB,4179310.512247,Sed_Bact,Benthic bacteria,0.8,1
BB,4179201.850478,Sed_Bact,Benthic bacteria,1,1
BB,4181391.508026,Sed_Bact,Benthic bacteria,1.2,1
BB,4184799.149814,Sed_Bact,Benthic bacteria,1.4,1
BB,4189123.807138,Sed_Bact,Benthic bacteria,1.6,1
BB,4194198.358704,Sed_Bact,Benthic bacteria,1.8,1
BB,4199952.047846,Sed_Bact,Benthic bacteria,2,1
BB,4206447.629702,Sed_Bact,Benthic bacteria,2.2,1
BB,4213417.687394,Sed_Bact,Benthic bacteria,2.4,1
BB,4220948.536041,Sed_Bact,Benthic bacteria,2.6,1
BB,4229166.157412,Sed_Bact,Benthic bacteria,2.8,1
BB,4238077.008225,Sed_Bact,Benthic bacteria,3,1
BB,4247371.321783,Sed_Bact,Benthic bacteria,3.2,1
BB,4256541.544267,Sed_Bact,Benthic bacteria,3.4,1
BB,4267143.220945,Sed_Bact,Benthic bacteria,3.6,1
BB,4280702.778214,Sed_Bact,Benthic bacteria,3.8,1
BB,4294299.362235,Sed_Bact,Benthic bacteria,4,1
BB,4305101.593504,Sed_Bact,Benthic bacteria,4.2,1
BB,4314219.820134,Sed_Bact,Benthic bacteria,4.4,1
BB,4323367.677741,Sed_Bact,Benthic bacteria,4.6,1
BB,4332667.465377,Sed_Bact,Benthic bacteria,4.8,1
BB,4342109.834797,Sed_Bact,Benthic bacteria,5,1
BB,4351672.690195,Sed_Bact,Benthic bacteria,5.2,1
BB,4364541.270433,Sed_Bact,Benthic bacteria,5.4,1
BB,4383717.70319,Sed_Bact,Benthic bacteria,5.6,1
BB,4407040.532101,Sed_Bact,Benthic bacteria,5.8,1
BB,4431222.983624,Sed_Bact,Benthic bacteria,6,1
BB,4455854.9845,Sed_Bact,Benthic bacteria,6.2,1
BB,4481759.13579,Sed_Bact,Benthic bacteria,6.4,1
BB,4510339.866215,Sed_Bact,Benthic bacteria,6.6,1
BB,4540530.845703,Sed_Bact,Benthic bacteria,6.8,1
BB,4570409.512882,Sed_Bact,Benthic bacteria,7,1
BB,4599739.536956,Sed_Bact,Benthic bacteria,7.2,1
BB,4630733.875026,Sed_Bact,Benthic bacteria,7.4,1
BB,4663399.115357,Sed_Bact,Benthic bacteria,7.6,1
BB,4695604.965874,Sed_Bact,Benthic bacteria,7.8,1
BB,4727017.675519,Sed_Bact,Benthic bacteria,8,1
