model_ver,Code,age_return,year_sim,return_nums,Name,Long.Name,NumCohorts,migiobox.x,year_no,age,juv_nums,years_away,migiobox.y,survival,Year
1,CDS,5,2011,3238.457964135048,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2006,NA,NA,NA,NA,NA,1
1,CDS,5,2012,3222.2518966555467,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2007,NA,NA,NA,NA,NA,2
1,CDS,5,2013,3217.46385751753,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2008,NA,NA,NA,NA,NA,3
1,CDS,5,2014,3213.3234884832505,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2009,NA,NA,NA,NA,NA,4
1,CDS,5,2015,61076.75197698367,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2010,NA,NA,NA,NA,NA,5
1,CDS,5,2016,178305.28679091428,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2011,1,119856.15154428779,4,0.74,1.4876607040484617,6
1,CDS,5,2017,142791.07675560078,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2012,1,391387.7985003942,4,0.74,0.3648327242257067,7
1,CDS,5,2018,64022.696770873205,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2013,1,357984.5732637576,4,0.74,0.17884205508403922,8
1,CDS,5,2019,25696.35841031805,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2014,1,260149.66740047152,4,0.74,0.09877528834492555,9
1,CDS,5,2020,9870.706683507751,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2015,1,163629.79380360738,4,0.74,0.060323407211249215,10
1,CDS,5,2021,27617.7826941923,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2016,1,125910.40572679638,4,0.74,0.219344720039407,11
1,CDS,5,2022,62286.586261325865,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2017,1,151548.91385868314,4,0.74,0.41099988561717493,12
1,CDS,5,2023,60067.36835354396,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2018,1,246256.1775585337,4,0.74,0.24392228024113746,13
1,CDS,5,2024,58152.505211308904,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2019,1,242398.33733242904,4,0.74,0.23990471985605086,14
1,CDS,5,2025,57242.54910455254,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2020,1,241163.62703269746,4,0.74,0.23735979512694705,15
1,CDS,5,2026,53107.79832869278,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2021,1,234150.8866781021,4,0.74,0.2268101525564688,16
1,CDS,5,2027,66470.3147116975,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2022,1,230118.93529693846,4,0.74,0.2888520000578233,17
1,CDS,5,2028,64402.155235898514,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2023,1,252048.94104179504,4,0.74,0.2555144844874364,18
1,CDS,5,2029,62245.915511855026,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2024,1,250059.35547462414,4,0.74,0.24892456190535012,19
1,CDS,5,2030,50730.656673495745,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2025,1,232017.73663117507,4,0.74,0.21864990758934644,20
1,CDS,5,2031,46569.86174726522,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2026,1,217312.21316218274,4,0.74,0.2142993303027546,21
1,CDS,5,2032,58941.937539091974,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2027,1,211505.73507507943,4,0.74,0.27867772719339745,22
1,CDS,5,2033,63047.53876831343,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2028,1,247007.3256342646,4,0.74,0.2552456232074096,23
1,CDS,5,2034,61500.473005843276,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2029,1,246810.41698588702,4,0.74,0.24918102629906405,24
1,CDS,5,2035,58034.50917556311,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2030,1,249296.97566377456,4,0.74,0.23279267235810325,25
1,CDS,5,2036,56656.96545781413,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2031,1,235766.2691575893,4,0.74,0.24030988682246085,26
1,CDS,5,2037,55186.77685212998,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2032,1,234353.00113293724,4,0.74,0.23548568435368644,27
1,CDS,5,2038,62706.57238193273,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2033,1,222157.0129143092,4,0.74,0.28226240333056707,28
1,CDS,5,2039,58777.35601313334,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2034,1,240885.51978943546,4,0.74,0.24400535185557112,29
1,CDS,5,2040,47409.52967230577,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2035,1,235749.33234083123,4,0.74,0.20110143770742103,30
1,CDS,5,2041,2.37e-14,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,0.74,2036,1,220316.98786804543,4,0.74,1.0757227678781925e-19,31
1,CHC,5,2011,9372.38019952177,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2006,NA,NA,NA,NA,NA,1
1,CHC,5,2012,9310.10626334087,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2007,NA,NA,NA,NA,NA,2
1,CHC,5,2013,9294.797926830899,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2008,NA,NA,NA,NA,NA,3
1,CHC,5,2014,9282.836967207415,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2009,NA,NA,NA,NA,NA,4
1,CHC,5,2015,4641049.677505053,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2010,NA,NA,NA,NA,NA,5
1,CHC,5,2016,10758855.391335268,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2011,1,69403676.4272393,4,0.7,0.1550185227235696,6
1,CHC,5,2017,4580613.258555059,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2012,1,291116166.1392309,4,0.7,0.015734657814792424,7
1,CHC,5,2018,98302.76922856593,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2013,1,267754484.9122357,4,0.7,3.67137712971596e-4,8
1,CHC,5,2019,698.4954691202483,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2014,1,101641029.48940033,4,0.7,6.87218018775667e-6,9
1,CHC,5,2020,6.683644330100547,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2015,1,24110878.714528088,4,0.7,2.772045104301112e-7,10
1,CHC,5,2021,1234.307445275603,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2016,1,11991842.783113608,4,0.7,1.029289215677261e-4,11
1,CHC,5,2022,123152.92949224339,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2017,1,36133129.1221932,4,0.7,0.0034083106690198624,12
1,CHC,5,2023,106724.75262052065,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2018,1,152760228.07945025,4,0.7,6.986422707159965e-4,13
1,CHC,5,2024,5819.324040524446,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2019,1,134386162.65473136,4,0.7,4.330300029085296e-5,14
1,CHC,5,2025,5656.019769154754,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2020,1,8174723.736876068,4,0.7,6.918912432037948e-4,15
1,CHC,5,2026,3805.798290566255,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2021,1,7582456.429904061,4,0.7,5.019215508521436e-4,16
1,CHC,5,2027,175436.4505188709,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2022,1,7074286.310489338,4,0.7,0.0247991730641074,17
1,CHC,5,2028,133649.52095310338,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2023,1,147693334.42908937,4,0.7,9.049123406261187e-4,18
1,CHC,5,2029,16543.917287230914,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2024,1,124113090.58012073,4,0.7,1.3329711805501332e-4,19
1,CHC,5,2030,6195.07317251131,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2025,1,19031526.0705306,4,0.7,3.2551636424490846e-4,20
1,CHC,5,2031,3219.8228394208636,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2026,1,15151573.304038664,4,0.7,2.1250749178388075e-4,21
1,CHC,5,2032,107792.91722475081,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2027,1,10103330.855078079,4,0.7,0.010669047541937374,22
1,CHC,5,2033,136321.30368384664,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2028,1,150384465.00651938,4,0.7,9.064852787682352e-4,23
1,CHC,5,2034,87712.18716125793,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2029,1,142148654.20052016,4,0.7,6.170454982818752e-4,24
1,CHC,5,2035,17935.18051285755,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2030,1,103712561.91368864,4,0.7,1.7293161196599803e-4,25
1,CHC,5,2036,8379.496003944681,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2031,1,25108480.953191806,4,0.7,3.33731698845743e-4,26
1,CHC,5,2037,53312.16678915732,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2032,1,11637669.067126544,4,0.7,0.004581000411822213,27
1,CHC,5,2038,117066.91243714864,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2033,1,91028283.7561592,4,0.7,0.0012860498694091615,28
1,CHC,5,2039,84355.4723645121,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2034,1,139792548.75942093,4,0.7,6.034332524381217e-4,29
1,CHC,5,2040,26483.197814222905,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2035,1,127719162.1608959,4,0.7,2.0735492909717296e-4,30
1,CHC,5,2041,2.37e-14,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,0.7,2036,1,74449347.71689574,4,0.7,3.183372417193315e-22,31
1,CHS,5,2011,703255.307472816,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2006,NA,NA,NA,NA,NA,1
1,CHS,5,2012,700614.9784696309,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2007,NA,NA,NA,NA,NA,2
1,CHS,5,2013,699647.154813242,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2008,NA,NA,NA,NA,NA,3
1,CHS,5,2014,698746.6236933897,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2009,NA,NA,NA,NA,NA,4
1,CHS,5,2015,11363176.209294546,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2010,NA,NA,NA,NA,NA,5
1,CHS,5,2016,11415085.649577618,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2011,1,29801729.085521616,4,0.79,0.3830343406189588,6
1,CHS,5,2017,10929384.784200763,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2012,1,29964619.610289738,4,0.79,0.36474298443780856,7
1,CHS,5,2018,10694870.864917127,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2013,1,28689817.198620554,4,0.79,0.3727758455509208,8
1,CHS,5,2019,10869811.1203,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2014,1,28074387.579061326,4,0.79,0.38717892205801896,9
1,CHS,5,2020,11166725.801398544,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2015,1,28533908.17517479,4,0.79,0.39134932841460085,10
1,CHS,5,2021,10635398.723652966,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2016,1,29313685.386747252,4,0.79,0.3628134294045893,11
1,CHS,5,2022,10720031.58243764,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2017,1,27918739.712074038,4,0.79,0.3839726181408375,12
1,CHS,5,2023,12023777.5349215,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2018,1,28140981.84035053,4,0.79,0.4272692972524845,13
1,CHS,5,2024,13412536.391329775,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2019,1,31563483.24726792,4,0.79,0.4249384101956092,14
1,CHS,5,2025,13600327.27948266,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2020,1,35209206.04461149,4,0.79,0.3862719103137542,15
1,CHS,5,2026,13600302.9229535,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2021,1,35701926.294082485,4,0.79,0.3809403114813925,16
1,CHS,5,2027,13600306.787886072,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2022,1,35701948.685492605,4,0.79,0.3809401808202285,17
1,CHS,5,2028,13600246.39998871,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2023,1,35701915.2224497,4,0.79,0.38093884642459597,18
1,CHS,5,2029,13600205.187939158,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2024,1,35701874.0088178,4,0.79,0.3809381318353239,19
1,CHS,5,2030,13600180.457259325,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2025,1,35701852.90187761,4,0.79,0.3809376643458209,20
1,CHS,5,2031,13600185.877240496,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2026,1,35701884.62530912,4,0.79,0.38093747767027697,21
1,CHS,5,2032,13600218.689317456,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2027,1,35701868.87069186,4,0.79,0.38093856482908256,22
1,CHS,5,2033,13600226.371521458,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2028,1,35701918.35558039,4,0.79,0.38093825200279957,23
1,CHS,5,2034,13600190.069808997,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2029,1,35701909.347327724,4,0.79,0.3809373313202636,24
1,CHS,5,2035,13600180.424560249,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2030,1,35701939.37011337,4,0.79,0.38093674081876805,25
1,CHS,5,2036,13600215.000610037,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2031,1,35701909.51883134,4,0.79,0.3809380277947448,26
1,CHS,5,2037,13600140.268321997,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2032,1,35701872.51792484,4,0.79,0.380936329361822,27
1,CHS,5,2038,13600136.084694607,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2033,1,35701840.85614556,4,0.79,0.3809365500085562,28
1,CHS,5,2039,13600097.147815023,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2034,1,35701885.54473547,4,0.79,0.3809349825732234,29
1,CHS,5,2040,13600099.687408794,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2035,1,35701874.73874191,4,0.79,0.3809351690053026,30
1,CHS,5,2041,2.37e-14,ChinookSY_Fish,Chinook Hatch Subyearling,5,0.79,2036,1,35701905.50631048,4,0.79,6.638301139363812e-22,31
1,CHY,4,2011,9595.289032307255,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2007,NA,NA,NA,NA,NA,1
1,CHY,4,2012,9370.142598641345,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2008,NA,NA,NA,NA,NA,2
1,CHY,4,2013,9341.713191476792,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2009,NA,NA,NA,NA,NA,3
1,CHY,4,2014,349537.05511715246,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2010,NA,NA,NA,NA,NA,4
1,CHY,4,2015,321458.3174482315,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2011,1,594577.1343575481,3,0.69,0.5406503191475288,5
1,CHY,4,2016,277565.7435521084,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2012,1,587705.906382763,3,0.69,0.47228680286792035,6
1,CHY,4,2017,170599.9474994182,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2013,1,561856.5665265131,3,0.69,0.3036361193642254,7
1,CHY,4,2018,135826.609858834,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2014,1,485064.19738839194,3,0.69,0.28001780092229184,8
1,CHY,4,2019,126955.4922238213,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2015,1,441517.29076867277,3,0.69,0.28754364750425593,9
1,CHY,4,2020,145739.27743740936,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2016,1,437158.5806181746,3,0.69,0.3333785127386113,10
1,CHY,4,2021,161433.7570558784,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2017,1,447106.1844356579,3,0.69,0.36106357432662617,11
1,CHY,4,2022,160645.1356267324,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2018,1,459634.53462591115,3,0.69,0.34950623489916566,12
1,CHY,4,2023,181843.29231454202,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2019,1,460537.74234947254,3,0.69,0.3948499234543796,13
1,CHY,4,2024,207340.88298857736,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2020,1,519139.47231655684,3,0.69,0.39939340783192584,14
1,CHY,4,2025,207610.14612024376,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2021,1,581839.1733737738,3,0.69,0.35681706495701154,15
1,CHY,4,2026,211882.82417156783,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2022,1,585760.9460381195,3,0.69,0.3617223469824483,16
1,CHY,4,2027,207406.31299497807,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2023,1,580285.689387503,3,0.69,0.35742103723753277,17
1,CHY,4,2028,199851.93062978602,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2024,1,570155.7290154665,3,0.69,0.35052165655668555,18
1,CHY,4,2029,194297.61514350277,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2025,1,564594.9688102371,3,0.69,0.34413628508405475,19
1,CHY,4,2030,188586.51050668946,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2026,1,571057.8986765372,3,0.69,0.3302406129811892,20
1,CHY,4,2031,201257.9846105863,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2027,1,564973.166231678,3,0.69,0.3562257406895262,21
1,CHY,4,2032,204299.50551440034,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2028,1,583409.429617887,3,0.69,0.3501820422206913,22
1,CHY,4,2033,206515.85643079603,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2029,1,580292.5191314782,3,0.69,0.35588233455066354,23
1,CHY,4,2034,205173.1560614466,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2030,1,583814.95341113,3,0.69,0.35143525334980763,24
1,CHY,4,2035,203218.7740291525,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2031,1,577495.6998665072,3,0.69,0.3518966012666902,25
1,CHY,4,2036,194113.35579705093,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2032,1,566436.4443409867,3,0.69,0.342692207989706,26
1,CHY,4,2037,195653.0409254611,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2033,1,553069.3388386143,3,0.69,0.35375861069483855,27
1,CHY,4,2038,195651.00326763376,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2034,1,565416.4339118822,3,0.69,0.346029919777898,28
1,CHY,4,2039,193506.92965283443,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2035,1,570951.2479714474,3,0.69,0.3389202324022444,29
1,CHY,4,2040,193987.288074751,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2036,1,574413.7177863884,3,0.69,0.3377135365469989,30
1,CHY,4,2041,17458.841840859102,ChinookY_Fish,Chinook Hatch Yearling,5,0.69,2037,1,566195.073453128,3,0.69,0.030835382820236457,31
1,CKS,5,2011,24316.44498141695,ChinookOSY_Fish,Chinook other Subyearling,5,0.79,2006,NA,NA,NA,NA,NA,1
1,CKS,5,2012,24226.48398948114,ChinookOSY_Fish,Chinook other Subyearling,5,0.79,2007,NA,NA,NA,NA,NA,2
1,CKS,5,2013,24193.06904071365,ChinookOSY_Fish,Chinook other Subyearling,5,0.79,2008,NA,NA,NA,NA,NA,3
1,CKS,5,2014,24161.936257488167,ChinookOSY_Fish,Chinook other Subyearling,5,0.79,2009,NA,NA,NA,NA,NA,4
1,CKS,5,2015,95712.66959600117,ChinookOSY_Fish,Chinook other Subyearling,5,0.79,2010,NA,NA,NA,NA,NA,5
1,CKS,5,2016,287410.1858594109,ChinookOSY_Fish,Chinook other Subyearling,5,0.79,2011,1,226066.42313069743,4,0.79,1.2713528257721332,6
1,CKS,5,2017,269146.6927605624,ChinookOSY_Fish,Chinook other Subyearling,5,0.79,2012,1,712860.1642457694,4,0.79,0.3775588905929803,7
