scenario_name,scenario_var,model_ver,Code,Long.Name,survival
gelatinous zooplankton increase,0_8,1,CDS,Chinook Duwamish Subyearling,0.19297646075736768
gelatinous zooplankton increase,0_8,1,CHC,Chinook Hood Canal Subyearling,9.66506925799068e-5
gelatinous zooplankton increase,0_8,1,CHS,Chinook Hatch Subyearling,0.23331129577699455
gelatinous zooplankton increase,0_8,1,CHY,Chinook Hatch Yearling,0.22293104482944434
gelatinous zooplankton increase,0_8,1,CKS,Chinook other Subyearling,0.25336581342935144
gelatinous zooplankton increase,0_8,1,CMF,Chum Fall Subyearling,0.7148742597458579
gelatinous zooplankton increase,0_8,1,CMH,Chum Hood Canal summer run Subyearling,0.6055251680304581
gelatinous zooplankton increase,0_8,1,CMS,Chum Hatch Subyearling,0.7305225421868176
gelatinous zooplankton increase,0_8,1,CNS,Chinook Nisqually Subyearling,0.20470962494731426
gelatinous zooplankton increase,0_8,1,CNY,Chinook Nisqually Yearling,0.07804792496509244
gelatinous zooplankton increase,0_8,1,COD,Coho Deep South Yearling,0.18883423017345471
gelatinous zooplankton increase,0_8,1,COH,Coho Hatch Yearling,0.2556395103342053
gelatinous zooplankton increase,0_8,1,COS,Coho Skagit Yearling,0.5033041249232193
gelatinous zooplankton increase,0_8,1,COY,Coho other Yearling,0.6531427560670816
gelatinous zooplankton increase,0_8,1,CSN,Chinook Snohomish Subyearling,0.0835940784209862
gelatinous zooplankton increase,0_8,1,CSS,Chinook Skagit Subyearling,0.0038878583823581435
gelatinous zooplankton increase,0_8,1,CSY,Chinook Skagit Yearling,0.15600197936004884
gelatinous zooplankton increase,0_8,1,CYE,Chinook other Yearling,0.2133010062532593
gelatinous zooplankton increase,0_8,1,PIS,Pink Salmon Subyearling,0.7736676831118842
gelatinous zooplankton increase,0_8,1,SAF,Strait of Georgia salmonids,0.1845592132137745
gelatinous zooplankton increase,0_8,1,SAL,Other salmonids,0.6367080813897964
gelatinous zooplankton increase,0_8,2,CDS,Chinook Duwamish Subyearling,0.11868684277762159
gelatinous zooplankton increase,0_8,2,CHC,Chinook Hood Canal Subyearling,9.34056882377736e-6
gelatinous zooplankton increase,0_8,2,CHS,Chinook Hatch Subyearling,0.237957045710278
gelatinous zooplankton increase,0_8,2,CHY,Chinook Hatch Yearling,0.1976358808911383
gelatinous zooplankton increase,0_8,2,CKS,Chinook other Subyearling,0.24643646387321974
gelatinous zooplankton increase,0_8,2,CMF,Chum Fall Subyearling,0.5554131167011603
gelatinous zooplankton increase,0_8,2,CMH,Chum Hood Canal summer run Subyearling,0.5340064268356987
gelatinous zooplankton increase,0_8,2,CMS,Chum Hatch Subyearling,0.7191775504036061
gelatinous zooplankton increase,0_8,2,CNS,Chinook Nisqually Subyearling,0.1419560090451844
gelatinous zooplankton increase,0_8,2,CNY,Chinook Nisqually Yearling,0.041062136524503634
gelatinous zooplankton increase,0_8,2,COD,Coho Deep South Yearling,0.21214440993606323
gelatinous zooplankton increase,0_8,2,COH,Coho Hatch Yearling,0.2707861711856313
gelatinous zooplankton increase,0_8,2,COS,Coho Skagit Yearling,0.5254798769022869
gelatinous zooplankton increase,0_8,2,COY,Coho other Yearling,0.6544473981553472
gelatinous zooplankton increase,0_8,2,CSN,Chinook Snohomish Subyearling,0.08989433057927525
gelatinous zooplankton increase,0_8,2,CSS,Chinook Skagit Subyearling,0.0074371771424214216
gelatinous zooplankton increase,0_8,2,CSY,Chinook Skagit Yearling,0.141604530461286
gelatinous zooplankton increase,0_8,2,CYE,Chinook other Yearling,0.21144085780407837
gelatinous zooplankton increase,0_8,2,PIS,Pink Salmon Subyearling,0.8022662236535781
gelatinous zooplankton increase,0_8,2,SAF,Strait of Georgia salmonids,0.19643521520641374
gelatinous zooplankton increase,0_8,2,SAL,Other salmonids,0.6415214875619
gelatinous zooplankton increase,0_8,3,CDS,Chinook Duwamish Subyearling,0.1928000037202743
gelatinous zooplankton increase,0_8,3,CHC,Chinook Hood Canal Subyearling,1.298676388707665e-4
gelatinous zooplankton increase,0_8,3,CHS,Chinook Hatch Subyearling,0.2597288331495554
gelatinous zooplankton increase,0_8,3,CHY,Chinook Hatch Yearling,0.24364764589445903
gelatinous zooplankton increase,0_8,3,CKS,Chinook other Subyearling,0.2530676630684927
gelatinous zooplankton increase,0_8,3,CMF,Chum Fall Subyearling,0.464258225149893
gelatinous zooplankton increase,0_8,3,CMH,Chum Hood Canal summer run Subyearling,0.49962900421585626
gelatinous zooplankton increase,0_8,3,CMS,Chum Hatch Subyearling,0.7106350026000049
gelatinous zooplankton increase,0_8,3,CNS,Chinook Nisqually Subyearling,0.2545799752208359
gelatinous zooplankton increase,0_8,3,CNY,Chinook Nisqually Yearling,0.07083950334043686
gelatinous zooplankton increase,0_8,3,COD,Coho Deep South Yearling,0.19215908547021776
gelatinous zooplankton increase,0_8,3,COH,Coho Hatch Yearling,0.2603016546458746
gelatinous zooplankton increase,0_8,3,COS,Coho Skagit Yearling,0.4906365278689677
gelatinous zooplankton increase,0_8,3,COY,Coho other Yearling,0.6584960720607587
gelatinous zooplankton increase,0_8,3,CSN,Chinook Snohomish Subyearling,0.08061826903208957
gelatinous zooplankton increase,0_8,3,CSS,Chinook Skagit Subyearling,0.007158338824381631
gelatinous zooplankton increase,0_8,3,CSY,Chinook Skagit Yearling,0.1397827972013277
gelatinous zooplankton increase,0_8,3,CYE,Chinook other Yearling,0.20789448029199556
gelatinous zooplankton increase,0_8,3,PIS,Pink Salmon Subyearling,0.7998019011092883
gelatinous zooplankton increase,0_8,3,SAF,Strait of Georgia salmonids,0.18287494431490556
gelatinous zooplankton increase,0_8,3,SAL,Other salmonids,0.6314615792583465
gelatinous zooplankton increase,0_8,4,CDS,Chinook Duwamish Subyearling,0.18650115341629653
gelatinous zooplankton increase,0_8,4,CHC,Chinook Hood Canal Subyearling,9.925779305290984e-5
gelatinous zooplankton increase,0_8,4,CHS,Chinook Hatch Subyearling,0.2395591864214367
gelatinous zooplankton increase,0_8,4,CHY,Chinook Hatch Yearling,0.23531349652436057
gelatinous zooplankton increase,0_8,4,CKS,Chinook other Subyearling,0.25285571038899785
gelatinous zooplankton increase,0_8,4,CMF,Chum Fall Subyearling,0.4637146630185864
gelatinous zooplankton increase,0_8,4,CMH,Chum Hood Canal summer run Subyearling,0.4994135612411165
gelatinous zooplankton increase,0_8,4,CMS,Chum Hatch Subyearling,0.7105680633070489
gelatinous zooplankton increase,0_8,4,CNS,Chinook Nisqually Subyearling,0.2855771725681906
gelatinous zooplankton increase,0_8,4,CNY,Chinook Nisqually Yearling,0.07320936179237397
gelatinous zooplankton increase,0_8,4,COD,Coho Deep South Yearling,0.19333177571403867
gelatinous zooplankton increase,0_8,4,COH,Coho Hatch Yearling,0.2637063820371051
gelatinous zooplankton increase,0_8,4,COS,Coho Skagit Yearling,0.4933192927304092
gelatinous zooplankton increase,0_8,4,COY,Coho other Yearling,0.6586150070645024
gelatinous zooplankton increase,0_8,4,CSN,Chinook Snohomish Subyearling,0.08051770414950696
